Frame_1: FPS: 920.6131, Total Parameters: 400000, Avg Tiles Hit: 293331.00
Frame_2: FPS: 881.7361, Total Parameters: 400000, Avg Tiles Hit: 298242.00
Frame_3: FPS: 881.3896, Total Parameters: 400000, Avg Tiles Hit: 301952.00
Frame_4: FPS: 863.5959, Total Parameters: 400000, Avg Tiles Hit: 305366.00
Frame_5: FPS: 898.6170, Total Parameters: 400000, Avg Tiles Hit: 308412.00
Frame_6: FPS: 894.5101, Total Parameters: 400000, Avg Tiles Hit: 311379.00
Frame_7: FPS: 884.5067, Total Parameters: 400000, Avg Tiles Hit: 314081.00
Frame_8: FPS: 859.4692, Total Parameters: 400000, Avg Tiles Hit: 315882.00
Frame_9: FPS: 863.2955, Total Parameters: 400000, Avg Tiles Hit: 318187.00
Frame_10: FPS: 879.5174, Total Parameters: 400000, Avg Tiles Hit: 320181.00
Frame_11: FPS: 873.6623, Total Parameters: 400000, Avg Tiles Hit: 322165.00
Frame_12: FPS: 866.2320, Total Parameters: 400000, Avg Tiles Hit: 324031.00
Frame_13: FPS: 860.3824, Total Parameters: 400000, Avg Tiles Hit: 325367.00
Frame_14: FPS: 856.7935, Total Parameters: 400000, Avg Tiles Hit: 327634.00
Frame_15: FPS: 848.1737, Total Parameters: 400000, Avg Tiles Hit: 330021.00
Frame_16: FPS: 849.4225, Total Parameters: 400000, Avg Tiles Hit: 331315.00
Frame_17: FPS: 845.2492, Total Parameters: 400000, Avg Tiles Hit: 332809.00
Frame_18: FPS: 843.7088, Total Parameters: 400000, Avg Tiles Hit: 334569.00
Frame_19: FPS: 837.7901, Total Parameters: 400000, Avg Tiles Hit: 336150.00
Frame_20: FPS: 832.4361, Total Parameters: 400000, Avg Tiles Hit: 339147.00
Frame_21: FPS: 832.7765, Total Parameters: 400000, Avg Tiles Hit: 340778.00
Frame_22: FPS: 806.0126, Total Parameters: 400000, Avg Tiles Hit: 342086.00
Frame_23: FPS: 828.0874, Total Parameters: 400000, Avg Tiles Hit: 344251.00
Frame_24: FPS: 826.4508, Total Parameters: 400000, Avg Tiles Hit: 345942.00
Frame_25: FPS: 824.1449, Total Parameters: 400000, Avg Tiles Hit: 347051.00
Frame_26: FPS: 818.0018, Total Parameters: 400000, Avg Tiles Hit: 348486.00
Frame_27: FPS: 820.5237, Total Parameters: 400000, Avg Tiles Hit: 349750.00
Frame_28: FPS: 813.2105, Total Parameters: 400000, Avg Tiles Hit: 352108.00
Frame_29: FPS: 813.5339, Total Parameters: 400000, Avg Tiles Hit: 354020.00
Frame_30: FPS: 787.0833, Total Parameters: 400000, Avg Tiles Hit: 355373.00
Frame_31: FPS: 805.8500, Total Parameters: 400000, Avg Tiles Hit: 357052.00
Frame_32: FPS: 808.0187, Total Parameters: 400000, Avg Tiles Hit: 358448.00
Frame_33: FPS: 786.3602, Total Parameters: 400000, Avg Tiles Hit: 360638.00
Frame_34: FPS: 802.0883, Total Parameters: 400000, Avg Tiles Hit: 362095.00
Frame_35: FPS: 775.0380, Total Parameters: 400000, Avg Tiles Hit: 363787.00
Frame_36: FPS: 800.5650, Total Parameters: 400000, Avg Tiles Hit: 364826.00
Frame_37: FPS: 797.9757, Total Parameters: 400000, Avg Tiles Hit: 365734.00
Frame_38: FPS: 794.9177, Total Parameters: 400000, Avg Tiles Hit: 367596.00
Frame_39: FPS: 791.2378, Total Parameters: 400000, Avg Tiles Hit: 368171.00
Frame_40: FPS: 789.4611, Total Parameters: 400000, Avg Tiles Hit: 369481.00
Frame_41: FPS: 791.6350, Total Parameters: 400000, Avg Tiles Hit: 370509.00
Frame_42: FPS: 787.2192, Total Parameters: 400000, Avg Tiles Hit: 371977.00
Frame_43: FPS: 786.3558, Total Parameters: 400000, Avg Tiles Hit: 371918.00
Frame_44: FPS: 785.1649, Total Parameters: 400000, Avg Tiles Hit: 372720.00
Frame_45: FPS: 788.6298, Total Parameters: 400000, Avg Tiles Hit: 374052.00
Frame_46: FPS: 784.8300, Total Parameters: 400000, Avg Tiles Hit: 374566.00
Frame_47: FPS: 783.7916, Total Parameters: 400000, Avg Tiles Hit: 375340.00
Frame_48: FPS: 762.2612, Total Parameters: 400000, Avg Tiles Hit: 376342.00
Frame_49: FPS: 785.5252, Total Parameters: 400000, Avg Tiles Hit: 376470.00
Frame_50: FPS: 926.3039, Total Parameters: 400000, Avg Tiles Hit: 289477.00
Frame_51: FPS: 918.8786, Total Parameters: 400000, Avg Tiles Hit: 293967.00
Frame_52: FPS: 912.2356, Total Parameters: 400000, Avg Tiles Hit: 298150.00
Frame_53: FPS: 877.0419, Total Parameters: 400000, Avg Tiles Hit: 300996.00
Frame_54: FPS: 902.9971, Total Parameters: 400000, Avg Tiles Hit: 304261.00
Frame_55: FPS: 873.7514, Total Parameters: 400000, Avg Tiles Hit: 307281.00
Frame_56: FPS: 886.9644, Total Parameters: 400000, Avg Tiles Hit: 310015.00
